订单ID,出发日期,出发城市,到达城市,交通方式,座位等级,旅客人数,票价(元),总金额(元),旅行类型,旅行时长(小时),是否准点,预订渠道
TRP00061,2026-03-31,杭州,苏州,轮渡,商务舱,2,2631.69,5038.76,探亲,0.6,是,去哪儿
TRP00062,2026-04-30,杭州,苏州,轮渡,一等座,4,1503.8,5892.69,旅游,9.3,否,线下售票窗口
TRP00063,2026-05-01,西安,郑州,高铁,经济舱,3,2181.86,6288.17,休闲,7.8,是,12306
TRP00064,2026-02-27,西安,郑州,高铁,二等座,2,1356.6,2530.48,探亲,2.3,否,APP直购
TRP00065,2026-05-19,北京,上海,动车,商务座,5,165.76,605.39,旅游,5.3,否,线下售票窗口
TRP00066,2026-01-23,成都,重庆,轮渡,经济舱,5,804.42,2965.19,休闲,4.0,否,12306
TRP00067,2026-03-21,武汉,长沙,汽车,经济舱,3,518.72,1227.83,探亲,11.5,是,飞猪
TRP00068,2026-03-14,杭州,苏州,飞机,软卧,3,2319.09,5315.4,旅游,4.6,否,飞猪
TRP00069,2026-07-01,杭州,苏州,汽车,商务座,2,2993.93,4365.46,探亲,8.3,是,携程
TRP00070,2026-03-02,广州,深圳,高铁,硬卧,3,670.83,1864.43,医疗,6.1,是,12306
TRP00071,2026-02-17,广州,深圳,轮渡,二等座,4,2481.88,9452.63,休闲,4.2,否,去哪儿
TRP00072,2026-01-22,成都,重庆,轮渡,商务座,1,932.64,832.68,休闲,9.5,否,去哪儿
TRP00073,2026-04-21,天津,北京,飞机,商务舱,2,757.64,1382.68,医疗,2.7,是,12306
TRP00074,2026-01-25,沈阳,大连,高铁,经济舱,5,2179.54,8348.05,旅游,4.6,是,12306
TRP00075,2026-03-17,北京,上海,自驾,商务座,3,2492.8,7254.7,医疗,3.4,否,线下售票窗口
TRP00076,2026-04-04,成都,重庆,自驾,二等座,2,647.19,1276.19,商务,4.1,否,线下售票窗口
TRP00077,2026-02-14,杭州,苏州,飞机,一等座,1,239.57,176.38,休闲,10.3,是,携程
TRP00078,2026-03-12,杭州,苏州,自驾,商务舱,2,731.14,1271.49,医疗,11.2,是,携程
TRP00079,2026-05-26,沈阳,大连,自驾,经济舱,1,2891.56,2498.01,商务,8.0,是,12306
TRP00080,2026-01-17,广州,深圳,飞机,商务舱,1,2459.8,1763.69,医疗,3.0,是,携程
TRP00081,2026-03-13,南京,上海,飞机,一等座,4,653.01,2558.75,休闲,8.0,是,去哪儿
TRP00082,2026-05-21,北京,上海,自驾,一等座,4,427.95,1628.48,商务,9.7,否,线下售票窗口
TRP00083,2026-05-22,南京,上海,自驾,软卧,4,2556.79,8613.63,商务,7.2,否,携程
TRP00084,2026-03-05,沈阳,大连,飞机,硬卧,3,1847.44,4117.8,旅游,11.7,否,飞猪
TRP00085,2026-01-30,杭州,苏州,动车,商务座,2,1769.85,2965.49,医疗,9.4,是,去哪儿
TRP00086,2026-07-07,南京,上海,自驾,软卧,2,1403.22,2195.46,旅游,5.4,否,去哪儿
TRP00087,2026-01-19,杭州,苏州,高铁,商务舱,4,1593.8,5096.67,医疗,5.2,是,飞猪
TRP00088,2026-06-27,南京,上海,自驾,商务座,3,1280.91,2817.64,商务,0.8,否,APP直购
TRP00089,2026-02-15,沈阳,大连,高铁,一等座,4,2334.71,7228.08,旅游,4.0,是,12306
TRP00090,2026-03-19,天津,北京,飞机,一等座,2,2035.3,3478.46,旅游,7.6,是,去哪儿
TRP00091,2026-01-23,天津,北京,飞机,二等座,2,361.67,707.93,商务,3.9,否,携程
TRP00092,2026-01-23,广州,深圳,飞机,软卧,5,1017.93,5026.37,旅游,8.5,是,APP直购
TRP00093,2026-07-18,沈阳,大连,动车,经济舱,3,2148.94,5438.11,休闲,2.8,否,线下售票窗口
TRP00094,2026-04-12,天津,北京,自驾,硬卧,3,515.64,1178.3,休闲,11.6,是,12306
TRP00095,2026-01-30,南京,上海,高铁,商务座,2,825.63,1257.06,旅游,7.0,是,携程
TRP00096,2026-05-12,西安,郑州,飞机,商务座,3,2383.51,5257.48,商务,0.8,是,12306
TRP00097,2026-02-21,北京,上海,自驾,软卧,1,1406.61,1021.98,旅游,11.6,是,飞猪
TRP00098,2026-03-09,西安,郑州,高铁,硬卧,5,1876.77,8723.71,休闲,6.1,否,飞猪
TRP00099,2026-01-20,沈阳,大连,动车,一等座,2,2164.65,4315.71,商务,5.7,是,线下售票窗口
TRP00100,2026-07-01,杭州,苏州,轮渡,硬卧,2,1867.49,2721.2,探亲,4.8,否,线下售票窗口
TRP00101,2026-06-02,天津,北京,自驾,二等座,1,1607.25,1385.04,休闲,8.2,是,飞猪
TRP00102,2026-07-25,沈阳,大连,自驾,经济舱,1,2215.8,1760.8,探亲,5.7,否,去哪儿
TRP00103,2026-03-29,沈阳,大连,飞机,经济舱,3,1682.57,4997.49,旅游,8.5,否,线下售票窗口
TRP00104,2026-06-29,杭州,苏州,高铁,软卧,4,2525.7,9652.0,商务,7.1,否,去哪儿
TRP00105,2026-03-23,南京,上海,汽车,软卧,4,1106.75,4150.24,休闲,6.6,否,12306
TRP00106,2026-06-09,昆明,大理,高铁,二等座,2,1193.8,2219.18,旅游,0.7,是,携程
TRP00107,2026-06-17,广州,深圳,轮渡,软卧,4,2334.39,8628.43,医疗,3.2,否,线下售票窗口
TRP00108,2026-02-22,北京,上海,动车,硬卧,4,1935.97,7492.29,探亲,10.3,是,飞猪
TRP00109,2026-02-18,北京,上海,汽车,一等座,4,540.28,2016.59,医疗,10.4,是,12306
TRP00110,2026-01-21,广州,深圳,自驾,经济舱,5,877.78,3082.01,休闲,11.3,是,12306
TRP00111,2026-06-11,武汉,长沙,自驾,经济舱,3,2923.14,6951.54,医疗,4.1,否,去哪儿
TRP00112,2026-04-09,广州,深圳,自驾,二等座,1,2782.86,2573.59,医疗,3.3,否,携程
TRP00113,2026-04-27,杭州,苏州,动车,二等座,1,2908.16,2830.04,医疗,9.8,否,线下售票窗口
TRP00114,2026-07-17,南京,上海,动车,硬卧,3,2410.36,6909.1,医疗,6.8,是,飞猪
TRP00115,2026-03-04,沈阳,大连,汽车,一等座,2,1354.0,2454.31,探亲,6.2,是,线下售票窗口
TRP00116,2026-05-07,广州,深圳,自驾,商务舱,2,2380.9,4711.06,探亲,11.8,是,APP直购
TRP00117,2026-03-09,杭州,苏州,轮渡,硬卧,2,1500.57,2728.57,探亲,5.8,否,线下售票窗口
TRP00118,2026-06-28,杭州,苏州,飞机,硬卧,2,700.48,1097.39,休闲,7.3,否,携程
TRP00119,2026-04-17,天津,北京,轮渡,经济舱,4,283.7,1079.59,探亲,1.9,否,飞猪
TRP00120,2026-07-02,广州,深圳,高铁,商务舱,2,1224.87,2354.45,探亲,4.0,否,携程
TRP00121,2026-05-09,武汉,长沙,汽车,一等座,2,2827.59,5486.13,休闲,7.4,否,线下售票窗口
TRP00122,2026-06-08,天津,北京,汽车,商务舱,5,1619.5,7911.13,旅游,4.5,否,飞猪
TRP00123,2026-03-11,昆明,大理,轮渡,硬卧,2,2874.74,5310.49,医疗,6.2,是,线下售票窗口
TRP00124,2026-04-08,武汉,长沙,动车,硬卧,4,2024.34,8074.41,休闲,2.3,是,APP直购
TRP00125,2026-04-01,西安,郑州,汽车,硬卧,4,2576.53,9842.08,探亲,11.5,否,12306
TRP00126,2026-01-27,西安,郑州,汽车,商务座,3,2794.29,6859.14,商务,1.3,是,携程
TRP00127,2026-02-12,天津,北京,动车,硬卧,1,442.38,330.32,商务,11.4,否,携程
TRP00128,2026-01-29,武汉,长沙,飞机,商务舱,5,1256.95,5567.75,商务,3.9,否,去哪儿
TRP00129,2026-01-19,武汉,长沙,动车,一等座,5,2459.86,11037.47,旅游,6.1,否,去哪儿
TRP00130,2026-04-11,沈阳,大连,轮渡,经济舱,2,490.11,880.96,医疗,9.4,否,APP直购
TRP00131,2026-01-22,广州,深圳,汽车,商务舱,4,783.85,2676.4,医疗,0.9,否,12306
TRP00132,2026-07-02,南京,上海,高铁,商务舱,5,1830.69,7718.18,休闲,9.5,否,线下售票窗口
TRP00133,2026-04-07,成都,重庆,动车,软卧,1,2244.18,1958.81,旅游,0.8,否,12306
TRP00134,2026-02-28,成都,重庆,飞机,商务舱,3,2904.42,8400.69,旅游,6.9,否,飞猪
TRP00135,2026-06-12,广州,深圳,自驾,二等座,5,2001.05,9189.01,医疗,11.3,否,去哪儿
TRP00136,2026-04-20,广州,深圳,汽车,一等座,1,2589.09,1853.78,探亲,10.9,否,12306
TRP00137,2026-03-03,昆明,大理,轮渡,软卧,3,2539.13,5406.46,商务,3.1,否,去哪儿
TRP00138,2026-05-17,成都,重庆,飞机,商务座,5,1915.12,7121.44,探亲,2.7,否,APP直购
TRP00139,2026-06-22,杭州,苏州,自驾,商务座,3,2414.03,7160.07,商务,4.0,否,12306
TRP00140,2026-04-10,武汉,长沙,高铁,经济舱,2,2676.27,4344.79,探亲,8.1,是,12306
TRP00141,2026-03-24,北京,上海,飞机,硬卧,1,2582.93,2271.99,医疗,10.5,是,12306
TRP00142,2026-01-17,北京,上海,汽车,硬卧,5,497.78,2284.42,休闲,4.8,否,12306
TRP00143,2026-06-10,北京,上海,自驾,经济舱,3,2060.07,5762.69,休闲,11.4,是,去哪儿
TRP00144,2026-02-09,成都,重庆,轮渡,一等座,5,782.27,2985.97,医疗,2.1,是,线下售票窗口
TRP00145,2026-01-29,沈阳,大连,飞机,经济舱,1,529.61,477.57,商务,11.0,否,12306
TRP00146,2026-07-12,广州,深圳,飞机,一等座,1,1378.49,1149.06,旅游,9.9,否,携程
TRP00147,2026-05-25,北京,上海,自驾,商务座,1,2524.84,2005.69,探亲,3.8,否,APP直购
TRP00148,2026-01-18,成都,重庆,轮渡,一等座,5,683.12,3384.24,休闲,5.1,否,线下售票窗口
TRP00149,2026-01-11,南京,上海,高铁,商务舱,2,2527.96,3963.81,旅游,8.2,否,去哪儿
TRP00150,2026-02-14,成都,重庆,高铁,软卧,4,989.56,3095.58,休闲,5.3,否,12306
